customer_id,name,gender,age,city,state,signup_date,total_orders,completed_orders,total_units,active_months,first_order_date,last_order_date,last_completed_order_date,recency_days,account_age_days,customer_lifetime_days,total_gross_revenue,total_revenue,total_profit,average_order_value,order_frequency_monthly,gross_margin_pct,refund_count,refund_amount,refund_rate,cancellation_count,cancellation_amount,cancellation_rate,recent_revenue,recent_order_count,historical_revenue,historical_order_count,recent_revenue_ratio,recent_order_ratio,revenue_trend,r_score,f_score,m_score,rfm_score,customer_segment,risk_score,risk_level,key_risk_driver,recommended_action,churn_probability
CUST_000001,Zachary Brown,Male,18.0,Minneapolis,MN,2022-12-10,1.0,1.0,1.0,1.0,2022-12-16,2022-12-16,2022-12-16,562,568,0,31.0,31.0,10.32,31.0,0.053,33.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,-0.252,1,1,1,111,Hibernating,40,MEDIUM,Severe Inactivity (>365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,1.0
CUST_000002,Joan Jackson,Female,34.0,Miami,FL,2023-08-14,7.0,6.0,10.0,5.0,2023-08-16,2024-06-23,2024-06-23,7,321,312,1124.44,867.45,493.48,144.58,0.561,56.89,1.0,256.99,0.1429,0.0,0.0,0.0,388.5,3.0,478.95000000000005,3.0,0.4479,0.5,0.2608,4,3,2,432,Potential Loyalists,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.1429
CUST_000003,Steven Roberts,Male,18.0,Los Angeles,CA,2022-01-11,0.0,0.0,0.0,0.0,,,,999,901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,000,Inactive / Unactivated,85,CRITICAL,Unactivated Account (0 Completed Purchases),High-Touch Re-engagement / VIP Concierge Win-Back Promo,1.0
CUST_000004,Robert Adams,Male,64.0,Portland,OR,2022-09-25,1.0,1.0,1.0,1.0,2022-10-04,2022-10-04,2022-10-04,635,644,0,293.5,293.5,127.91,293.5,0.047,43.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.5,1.0,0.0,0.0,-0.3224,1,1,1,111,Hibernating,40,MEDIUM,Severe Inactivity (>365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,1.0
CUST_000005,Stephanie Morris,Female,41.0,Denver,CO,2022-05-14,30.0,25.0,38.0,15.0,2022-05-16,2023-11-14,2023-11-14,229,778,547,11365.78,9705.82,3968.15,388.23,0.964,40.88,2.0,65.5,0.0667,3.0,1594.46,0.1,0.0,0.0,9705.82,25.0,0.0,0.0,-0.333,3,5,5,355,Loyal Customers,70,HIGH,High Inactivity (181-365 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),0.9975
CUST_000006,Matthew King,Male,40.0,Boston,MA,2023-03-08,1.0,1.0,5.0,1.0,2023-03-15,2023-03-15,2023-03-15,473,480,0,1019.95,1019.95,326.05000000000007,1019.95,0.062,31.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.95,1.0,0.0,0.0,-0.3301,1,1,2,112,Hibernating,40,MEDIUM,Severe Inactivity (>365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,1.0
CUST_000007,Gary Allen,Male,41.0,Philadelphia,PA,2022-06-05,2.0,2.0,3.0,2.0,2022-06-15,2022-07-24,2022-07-24,707,756,39,656.0,656.0,364.25,328.0,0.079,55.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,2.0,0.0,0.0,-0.3283,1,2,2,122,Hibernating,55,HIGH,Severe Inactivity (>365 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),1.0
CUST_000008,Joe Martin,Male,46.0,Los Angeles,CA,2023-05-20,1.0,1.0,1.0,1.0,2023-05-21,2023-05-21,2023-05-21,406,407,0,548.99,548.99,158.35000000000002,548.99,0.074,28.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.99,1.0,0.0,0.0,-0.3274,2,1,2,212,Hibernating,40,MEDIUM,Severe Inactivity (>365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,1.0
CUST_000009,Ashley Harris,Female,51.0,Atlanta,GA,2022-07-09,16.0,16.0,23.0,9.0,2022-07-11,2023-10-23,2023-10-23,251,722,469,5418.87,5418.87,2094.5,338.68,0.665,38.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5418.87,16.0,0.0,0.0,-0.3327,3,4,4,344,Loyal Customers,70,HIGH,High Inactivity (181-365 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),0.9991
CUST_000010,Sharon Carter,Female,19.0,San Antonio,TX,2023-02-03,4.0,4.0,6.0,3.0,2023-02-04,2023-09-21,2023-09-21,283,513,229,977.47,977.47,446.80000000000007,244.37,0.234,45.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.47,4.0,0.0,0.0,-0.33,2,2,2,222,Hibernating,40,MEDIUM,High Inactivity (181-365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.9994
CUST_000011,Evelyn Flores,Female,55.0,Charlotte,NC,2022-03-23,4.0,4.0,4.0,3.0,2022-03-23,2022-08-05,2022-08-05,695,830,135,415.98,415.98,191.84000000000003,104.0,0.145,46.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.98,4.0,0.0,0.0,-0.3255,1,2,2,122,Hibernating,55,HIGH,Severe Inactivity (>365 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),1.0
