customer_id,name,gender,age,city,state,signup_date
CUST_000001,Zachary Brown,MALE,18.0,Minneapolis,MN,2022-12-10
CUST_000002,Joan Jackson,Female,34.0,Miami,FL,2023-08-14
CUST_000003,Steven Roberts,Male,18.0,Los Angeles,CA,2022-01-11
CUST_000004,Robert Adams,Male,64.0,Portland,OR,2022-09-25
CUST_000005,Stephanie Morris,Female,41.0,Denver,CO,2022-05-14
CUST_000006,Matthew King,Male,40.0,Boston,MA,2023-03-08
CUST_000007,Gary Allen,male,41.0,Philadelphia,PA,2022-06-05
CUST_000008,Joe Martin,Male,46.0,Los Angeles,CA,2023-05-20
CUST_000009,Ashley Harris,Female,51.0,Atlanta,GA,2022-07-09
CUST_000010,Sharon Carter,Female,19.0,San Antonio,TX,2023-02-03
CUST_000011,Evelyn Flores,Female,55.0,Charlotte,NC,2022-03-23
CUST_000012,Benjamin Miller,Male,54.0,Los Angeles,CA,2023-02-24
CUST_000013,Michael Johnson,Male,38.0,Houston,TX,2023-11-25
CUST_000014,Matthew Rodriguez,Male,37.0,Denver,CO,2022-11-12
CUST_000015,Alice Walker,Female,18.0,Dallas,TX,2023-09-15
CUST_000016,Sarah Richardson,Female,23.0,Philadelphia,PA,2023-02-12
CUST_000017,Tyler Mendoza,Male,45.0,Seattle,WA,2022-08-29
CUST_000018,Jacqueline Carter,Female,54.0,Denver,CO,2022-10-31
CUST_000019,Kevin Nelson,Male,48.0,Dallas,TX,2022-10-30
CUST_000020,Peter Campbell,Male,38.0,Houston,TX,2023-10-10
CUST_000021,Anthony Stewart,Male,63.0,Austin,TX,2022-07-29
CUST_000022,Deborah Chavez,Female,51.0,San Diego,CA,2024-03-16
CUST_000023,Timothy Reed,Male,34.0,Atlanta,GA,2023-09-01
CUST_000024,Jordan Garcia,Male,66.0,San Jose,CA,2023-01-23
CUST_000025,Paul Phillips,Male,25.0,San Antonio,TX,2024-03-29
CUST_000026,Lisa Smith,Female,20.0,New York,NY,2022-08-12
CUST_000027,Abigail Anderson,Female,33.0,Los Angeles,CA,2023-10-25
CUST_000028,Margaret Thomas,Female,29.0,Houston,TX,2022-10-02
CUST_000029,Frances Kelly,Female,34.0,Austin,TX,2023-05-17
CUST_000030,Jose Jackson,Male,48.0,Atlanta,GA,2022-03-02
CUST_000031,Raymond Mitchell,Male,38.0,Charlotte,NC,2023-12-21
CUST_000032,Walter Ramirez,Male,38.0,Austin,TX,2022-12-24
CUST_000033,Evelyn Cox,Female,39.0,Denver,CO,2023-06-17
CUST_000034,Karen Richardson,Female,18.0,Austin,TX,2024-02-13
